Date: 2021-03-22 12:19:55s, Time_Cost: 681s, Epoch: [76/1980], Train_PSNR: 28.06, Train_SSIM:0.9060, Val_PSNR: 27.08, Val_SSIM: 0.9459
Date: 2021-03-22 12:31:22s, Time_Cost: 687s, Epoch: [77/1980], Train_PSNR: 28.05, Train_SSIM:0.9061, Val_PSNR: 27.11, Val_SSIM: 0.9467
Date: 2021-03-22 12:42:48s, Time_Cost: 686s, Epoch: [78/1980], Train_PSNR: 28.08, Train_SSIM:0.9062, Val_PSNR: 27.00, Val_SSIM: 0.9453
Date: 2021-03-22 12:54:11s, Time_Cost: 683s, Epoch: [79/1980], Train_PSNR: 28.04, Train_SSIM:0.9063, Val_PSNR: 26.55, Val_SSIM: 0.9379
Date: 2021-03-22 13:05:40s, Time_Cost: 689s, Epoch: [80/1980], Train_PSNR: 28.05, Train_SSIM:0.9062, Val_PSNR: 27.29, Val_SSIM: 0.9475
Date: 2021-03-22 13:17:07s, Time_Cost: 687s, Epoch: [81/1980], Train_PSNR: 27.94, Train_SSIM:0.9053, Val_PSNR: 27.35, Val_SSIM: 0.9474
Date: 2021-03-22 13:28:27s, Time_Cost: 680s, Epoch: [82/1980], Train_PSNR: 27.97, Train_SSIM:0.9055, Val_PSNR: 27.14, Val_SSIM: 0.9464
Date: 2021-03-22 13:39:54s, Time_Cost: 687s, Epoch: [83/1980], Train_PSNR: 27.99, Train_SSIM:0.9054, Val_PSNR: 27.27, Val_SSIM: 0.9466
Date: 2021-03-22 13:51:17s, Time_Cost: 683s, Epoch: [84/1980], Train_PSNR: 28.00, Train_SSIM:0.9057, Val_PSNR: 26.99, Val_SSIM: 0.9452
Date: 2021-03-22 14:02:41s, Time_Cost: 684s, Epoch: [85/1980], Train_PSNR: 28.00, Train_SSIM:0.9058, Val_PSNR: 27.20, Val_SSIM: 0.9458
Date: 2021-03-22 14:14:05s, Time_Cost: 684s, Epoch: [86/1980], Train_PSNR: 28.00, Train_SSIM:0.9059, Val_PSNR: 26.91, Val_SSIM: 0.9413
Date: 2021-03-22 14:25:28s, Time_Cost: 683s, Epoch: [87/1980], Train_PSNR: 27.99, Train_SSIM:0.9060, Val_PSNR: 27.24, Val_SSIM: 0.9460
Date: 2021-03-22 14:37:02s, Time_Cost: 694s, Epoch: [88/1980], Train_PSNR: 27.98, Train_SSIM:0.9058, Val_PSNR: 27.06, Val_SSIM: 0.9430
Date: 2021-03-22 14:48:38s, Time_Cost: 696s, Epoch: [89/1980], Train_PSNR: 27.97, Train_SSIM:0.9055, Val_PSNR: 26.89, Val_SSIM: 0.9422
Date: 2021-03-22 14:59:51s, Time_Cost: 672s, Epoch: [90/1980], Train_PSNR: 27.98, Train_SSIM:0.9059, Val_PSNR: 26.79, Val_SSIM: 0.9450
Date: 2021-03-22 15:11:11s, Time_Cost: 680s, Epoch: [91/1980], Train_PSNR: 28.03, Train_SSIM:0.9061, Val_PSNR: 26.81, Val_SSIM: 0.9434
Date: 2021-03-22 15:22:23s, Time_Cost: 672s, Epoch: [92/1980], Train_PSNR: 28.03, Train_SSIM:0.9060, Val_PSNR: 26.98, Val_SSIM: 0.9438
Date: 2021-03-22 15:33:17s, Time_Cost: 654s, Epoch: [93/1980], Train_PSNR: 27.99, Train_SSIM:0.9059, Val_PSNR: 27.11, Val_SSIM: 0.9438
Date: 2021-03-22 15:43:10s, Time_Cost: 593s, Epoch: [94/1980], Train_PSNR: 28.01, Train_SSIM:0.9061, Val_PSNR: 26.79, Val_SSIM: 0.9421
Date: 2021-03-22 15:53:15s, Time_Cost: 605s, Epoch: [95/1980], Train_PSNR: 27.98, Train_SSIM:0.9060, Val_PSNR: 26.90, Val_SSIM: 0.9448
Date: 2021-03-22 16:04:15s, Time_Cost: 660s, Epoch: [96/1980], Train_PSNR: 28.03, Train_SSIM:0.9061, Val_PSNR: 26.42, Val_SSIM: 0.9406
Date: 2021-03-22 16:15:20s, Time_Cost: 664s, Epoch: [97/1980], Train_PSNR: 28.07, Train_SSIM:0.9062, Val_PSNR: 27.01, Val_SSIM: 0.9460
Date: 2021-03-22 16:26:23s, Time_Cost: 664s, Epoch: [98/1980], Train_PSNR: 28.00, Train_SSIM:0.9058, Val_PSNR: 27.08, Val_SSIM: 0.9454
Date: 2021-03-22 16:37:29s, Time_Cost: 665s, Epoch: [99/1980], Train_PSNR: 28.02, Train_SSIM:0.9060, Val_PSNR: 27.15, Val_SSIM: 0.9457
Date: 2021-03-22 16:48:35s, Time_Cost: 666s, Epoch: [100/1980], Train_PSNR: 28.07, Train_SSIM:0.9063, Val_PSNR: 26.94, Val_SSIM: 0.9460
Date: 2021-03-22 16:59:52s, Time_Cost: 677s, Epoch: [101/1980], Train_PSNR: 28.09, Train_SSIM:0.9063, Val_PSNR: 27.24, Val_SSIM: 0.9469
